ENSG0000618	LOC_Os01g12090
ENSG0000619	LOC_Os01g12100
ENSG0000620	LOC_Os01g12110
ENSG0000621	LOC_Os01g12160
ENSG0000622	LOC_Os01g12180
ENSG0000623	LOC_Os01g12190
ENSG0000624	LOC_Os01g12200
ENSG0000625	LOC_Os01g12210
ENSG0000626	LOC_Os01g12260
ENSG0000627	LOC_Os01g12270
ENSG0000628	LOC_Os01g12280
ENSG0000629	LOC_Os01g12290
ENSG0000630	LOC_Os01g12304
ENSG0000631	LOC_Os01g12320
ENSG0000632	LOC_Os01g12381
ENSG0000633	LOC_Os01g12390
ENSG0000634	LOC_Os01g12400
ENSG0000635	LOC_Os01g12410
ENSG0000636	LOC_Os01g12420
ENSG0000637	LOC_Os01g12430
ENSG0000638	LOC_Os01g12440
ENSG0000639	LOC_Os01g12460
ENSG0000640	LOC_Os01g12464
ENSG0000641	LOC_Os01g12470
ENSG0000642	LOC_Os01g12480
ENSG0000643	LOC_Os01g12490
ENSG0000644	LOC_Os01g12520
ENSG0000645	LOC_Os01g12530
ENSG0000646	LOC_Os01g12540
ENSG0000647	LOC_Os01g12550
ENSG0000648	LOC_Os01g12560
ENSG0000649	LOC_Os01g12570
ENSG0000650	LOC_Os01g12580
ENSG0000651	LOC_Os01g12640
ENSG0000652	LOC_Os01g12650
ENSG0000653	LOC_Os01g12660
ENSG0000654	LOC_Os01g12670
ENSG0000655	LOC_Os01g12690
ENSG0000656	LOC_Os01g12710
ENSG0000657	LOC_Os01g12720
ENSG0000658	LOC_Os01g12730
ENSG0000659	LOC_Os01g12740
ENSG0000660	LOC_Os01g12750
ENSG0000661	LOC_Os01g12790
ENSG0000662	LOC_Os01g12800
ENSG0000663	LOC_Os01g12820
ENSG0000664	LOC_Os01g12830
ENSG0000665	LOC_Os01g12840
ENSG0000666	LOC_Os01g12860
ENSG0000667	LOC_Os01g12870
ENSG0000668	LOC_Os01g12880
ENSG0000669	LOC_Os01g12890
ENSG0000670	LOC_Os01g12900
ENSG0000671	LOC_Os01g12910
ENSG0000672	LOC_Os01g12920
ENSG0000673	LOC_Os01g12930
ENSG0000674	LOC_Os01g12940
ENSG0000675	LOC_Os01g12950
ENSG0000676	LOC_Os01g13000
ENSG0000677	LOC_Os01g13024
ENSG0000678	LOC_Os01g13030
ENSG0000679	LOC_Os01g13040
ENSG0000680	LOC_Os01g13060
ENSG0000681	LOC_Os01g13070
ENSG0000682	LOC_Os01g13080
ENSG0000683	LOC_Os01g13090
ENSG0000684	LOC_Os01g13100
ENSG0000685	LOC_Os01g13120
ENSG0000686	LOC_Os01g13150
ENSG0000687	LOC_Os01g13160
ENSG0000688	LOC_Os01g13170
ENSG0000689	LOC_Os01g13190
ENSG0000690	LOC_Os01g13200
ENSG0000691	LOC_Os01g13210
ENSG0000692	LOC_Os01g13229
ENSG0000693	LOC_Os01g13270
ENSG0000694	LOC_Os01g13280
ENSG0000695	LOC_Os01g13285
ENSG0000696	LOC_Os01g13320
ENSG0000697	LOC_Os01g13340
ENSG0000698	LOC_Os01g13350
ENSG0000699	LOC_Os01g13370
ENSG0000700	LOC_Os01g13390
ENSG0000701	LOC_Os01g13404
ENSG0000702	LOC_Os01g13420
ENSG0000703	LOC_Os01g13430
ENSG0000704	LOC_Os01g13460
ENSG0000705	LOC_Os01g13470
ENSG0000706	LOC_Os01g13480
ENSG0000707	LOC_Os01g13490
ENSG0000708	LOC_Os01g13520
ENSG0000709	LOC_Os01g13530
ENSG0000710	LOC_Os01g13540
ENSG0000711	LOC_Os01g13550
ENSG0000712	LOC_Os01g13570
ENSG0000713	LOC_Os01g13610
ENSG0000714	LOC_Os01g13660
ENSG0000715	LOC_Os01g13670
ENSG0000716	LOC_Os01g13690
ENSG0000717	LOC_Os01g13700
ENSG0000718	LOC_Os01g13720
ENSG0000719	LOC_Os01g13730
ENSG0000720	LOC_Os01g13740
ENSG0000721	LOC_Os01g13760
ENSG0000722	LOC_Os01g13770
ENSG0000723	LOC_Os01g13800
ENSG0000724	LOC_Os01g13810
ENSG0000725	LOC_Os01g13930
ENSG0000726	LOC_Os01g13940
ENSG0000727	LOC_Os01g13950
ENSG0000728	LOC_Os01g14010
ENSG0000729	LOC_Os01g14020
ENSG0000730	LOC_Os01g14030
ENSG0000731	LOC_Os01g14040
ENSG0000732	LOC_Os01g14050
ENSG0000733	LOC_Os01g14060
ENSG0000734	LOC_Os01g14070
ENSG0000735	LOC_Os01g14080
ENSG0000736	LOC_Os01g14090
ENSG0000737	LOC_Os01g14100
ENSG0000738	LOC_Os01g14110
ENSG0000739	LOC_Os01g14130
ENSG0000740	LOC_Os01g14140
ENSG0000741	LOC_Os01g14220
ENSG0000742	LOC_Os01g14370
